"REF_DATE","GEO","DGUID","Building type","Construction type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-04","Vancouver, British Columbia","2016S0503933","House","Total, construction type","Index, 2017=100","373","units ","0","v1073542662","6.2.1","98.4","","","","1"
"2017-04","Vancouver, British Columbia","2016S0503933","House","New build","Index, 2017=100","373","units ","0","v1073542665","6.2.2","98.7","","","","1"
"2017-04","Vancouver, British Columbia","2016S0503933","House","Resale","Index, 2017=100","373","units ","0","v1073542668","6.2.3","98.3","","","","1"
"2017-04","Vancouver, British Columbia","2016S0503933","Condominium apartment","Total, construction type","Index, 2017=100","373","units ","0","v1073542663","6.3.1","96.7","","","","1"
"2017-04","Vancouver, British Columbia","2016S0503933","Condominium apartment","New build","Index, 2017=100","373","units ","0","v1073542666","6.3.2","95.3","E","","","1"
"2017-04","Vancouver, British Columbia","2016S0503933","Condominium apartment","Resale","Index, 2017=100","373","units ","0","v1073542669","6.3.3","97.6","","","","1"
"2017-04","Victoria, British Columbia","2016S0503935","Total, building type","Total, construction type","Index, 2017=100","373","units ","0","v1073542670","7.1.1","100.2","","","","1"
"2017-04","Victoria, British Columbia","2016S0503935","Total, building type","New build","Index, 2017=100","373","units ","0","v1073542673","7.1.2","99.1","","","","1"
"2017-04","Victoria, British Columbia","2016S0503935","Total, building type","Resale","Index, 2017=100","373","units ","0","v1073542676","7.1.3","100.5","","","","1"
"2017-04","Victoria, British Columbia","2016S0503935","House","Total, construction type","Index, 2017=100","373","units ","0","v1073542671","7.2.1","100.9","","","","1"
"2017-04","Victoria, British Columbia","2016S0503935","House","New build","Index, 2017=100","373","units ","0","v1073542674","7.2.2","100.0","","","","1"
"2017-04","Victoria, British Columbia","2016S0503935","House","Resale","Index, 2017=100","373","units ","0","v1073542677","7.2.3","101.1","","","","1"
"2017-04","Victoria, British Columbia","2016S0503935","Condominium apartment","Total, construction type","Index, 2017=100","373","units ","0","v1073542672","7.3.1","98.0","","","","1"
"2017-04","Victoria, British Columbia","2016S0503935","Condominium apartment","New build","Index, 2017=100","373","units ","0","v1073542675","7.3.2","97.4","E","","","1"
"2017-04","Victoria, British Columbia","2016S0503935","Condominium apartment","Resale","Index, 2017=100","373","units ","0","v1073542678","7.3.3","98.3","","","","1"
"2017-07","Six census metropolitan area composite","","Total, building type","Total, construction type","Index, 2017=100","373","units ","0","v1073542616","1.1.1","102.1","","","","1"
"2017-07","Six census metropolitan area composite","","Total, building type","New build","Index, 2017=100","373","units ","0","v1073542619","1.1.2","101.5","","","","1"
"2017-07","Six census metropolitan area composite","","Total, building type","Resale","Index, 2017=100","373","units ","0","v1073542622","1.1.3","102.3","","","","1"
"2017-07","Six census metropolitan area composite","","House","Total, construction type","Index, 2017=100","373","units ","0","v1073542617","1.2.1","102.0","","","","1"
"2017-07","Six census metropolitan area composite","","House","New build","Index, 2017=100","373","units ","0","v1073542620","1.2.2","101.3","","","","1"
"2017-07","Six census metropolitan area composite","","House","Resale","Index, 2017=100","373","units ","0","v1073542623","1.2.3","102.2","","","","1"
"2017-07","Six census metropolitan area composite","","Condominium apartment","Total, construction type","Index, 2017=100","373","units ","0","v1073542618","1.3.1","102.4","","","","1"
"2017-07","Six census metropolitan area composite","","Condominium apartment","New build","Index, 2017=100","373","units ","0","v1073542621","1.3.2","101.8","","","","1"
"2017-07","Six census metropolitan area composite","","Condominium apartment","Resale","Index, 2017=100","373","units ","0","v1073542624","1.3.3","102.7","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units ","0","v1073542625","2.1.1","100.6","","","","1"
