"REF_DATE","GEO","DGUID","Interprovincial migrants","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976/1977","Yukon","2016A000260","Net-migration","Persons","249","units","0","v466528","11.15","-400","","","","0"
"1976/1977","Northwest Territories including Nunavut","","In-migrants","Persons","249","units","0","v466499","12.13","4225","","","t","0"
"1976/1977","Northwest Territories including Nunavut","","Out-migrants","Persons","249","units","0","v466514","12.14","5558","","","t","0"
"1976/1977","Northwest Territories including Nunavut","","Net-migration","Persons","249","units","0","v466529","12.15","-1333","","","t","0"
"1977/1978","Canada","2016A000011124","In-migrants","Persons","249","units","0","v466500","13.13","364421","","","","0"
"1977/1978","Canada","2016A000011124","Out-migrants","Persons","249","units","0","v466515","13.14","364421","","","","0"
"1977/1978","Newfoundland and Labrador","2016A000210","In-migrants","Persons","249","units","0","v466496","1.13","8181","","","","0"
"1977/1978","Newfoundland and Labrador","2016A000210","Out-migrants","Persons","249","units","0","v466511","1.14","12492","","","","0"
"1977/1978","Newfoundland and Labrador","2016A000210","Net-migration","Persons","249","units","0","v466526","1.15","-4311","","","","0"
"1977/1978","Prince Edward Island","2016A000211","In-migrants","Persons","249","units","0","v466503","2.13","3933","","","","0"
"1977/1978","Prince Edward Island","2016A000211","Out-migrants","Persons","249","units","0","v466518","2.14","3233","","","","0"
"1977/1978","Prince Edward Island","2016A000211","Net-migration","Persons","249","units","0","v466532","2.15","700","","","","0"
"1977/1978","Nova Scotia","2016A000212","In-migrants","Persons","249","units","0","v466504","3.13","20055","","","","0"
"1977/1978","Nova Scotia","2016A000212","Out-migrants","Persons","249","units","0","v466519","3.14","20471","","","","0"
"1977/1978","Nova Scotia","2016A000212","Net-migration","Persons","249","units","0","v466533","3.15","-416","","","","0"
"1977/1978","New Brunswick","2016A000213","In-migrants","Persons","249","units","0","v466505","4.13","15135","","","","0"
"1977/1978","New Brunswick","2016A000213","Out-migrants","Persons","249","units","0","v466520","4.14","16483","","","","0"
"1977/1978","New Brunswick","2016A000213","Net-migration","Persons","249","units","0","v466534","4.15","-1348","","","","0"
"1977/1978","Quebec","2016A000224","In-migrants","Persons","249","units","0","v466506","5.13","23945","","","","0"
"1977/1978","Quebec","2016A000224","Out-migrants","Persons","249","units","0","v466521","5.14","70374","","","","0"
"1977/1978","Quebec","2016A000224","Net-migration","Persons","249","units","0","v466535","5.15","-46429","","","","0"
"1977/1978","Ontario","2016A000235","In-migrants","Persons","249","units","0","v466507","6.13","97825","","","","0"
