"REF_DATE","GEO","DGUID","Components of population growth","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017/2018","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1060825972","1.7.1.1","-1771","","","","0"
"2018/2019","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1060825972","1.7.1.1","-1588","","","","0"
"2019/2020","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net interprovincial migration","Both sexes","All ages","Persons","249","units","0","v1060825972","1.7.1.1","-1241","","","","0"
"2015/2016","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1060826305","1.8.1.1","795","","","","0"
"2016/2017","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1060826305","1.8.1.1","1279","","","","0"
"2017/2018","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1060826305","1.8.1.1","910","","","","0"
"2018/2019","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1060826305","1.8.1.1","908","","","","0"
"2019/2020","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net intraprovincial migration","Both sexes","All ages","Persons","249","units","0","v1060826305","1.8.1.1","869","","","","0"
"2015/2016","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1060826638","1.9.1.1","704","","","","0"
"2016/2017","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1060826638","1.9.1.1","209","","","","0"
"2017/2018","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1060826638","1.9.1.1","95","","","","0"
"2018/2019","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1060826638","1.9.1.1","387","","","","0"
"2019/2020","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Net non-permanent residents","Both sexes","All ages","Persons","249","units","0","v1060826638","1.9.1.1","188","","","","0"
"2015/2016","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Residual deviation","Both sexes","All ages","Persons","249","units","0","v1060826971","1.10.1.1","-687","","","","0"
"2015/2016","Halifax (CMA), Nova Scotia","2016S0503205","Births","Both sexes","All ages","Persons","249","units","0","v1060845322","8.1.1.1","4005","","","","0"
"2016/2017","Halifax (CMA), Nova Scotia","2016S0503205","Births","Both sexes","All ages","Persons","249","units","0","v1060845322","8.1.1.1","3918","","","","0"
"2017/2018","Halifax (CMA), Nova Scotia","2016S0503205","Births","Both sexes","All ages","Persons","249","units","0","v1060845322","8.1.1.1","3890","","","","0"
"2018/2019","Halifax (CMA), Nova Scotia","2016S0503205","Births","Both sexes","All ages","Persons","249","units","0","v1060845322","8.1.1.1","3917","","","","0"
"2019/2020","Halifax (CMA), Nova Scotia","2016S0503205","Births","Both sexes","All ages","Persons","249","units","0","v1060845322","8.1.1.1","4026","","","","0"
"2015/2016","Halifax (CMA), Nova Scotia","2016S0503205","Deaths","Both sexes","All ages","Persons","249","units","0","v1060845328","8.2.1.1","3010","","","","0"
"2016/2017","Halifax (CMA), Nova Scotia","2016S0503205","Deaths","Both sexes","All ages","Persons","249","units","0","v1060845328","8.2.1.1","3074","","","","0"
"2017/2018","Halifax (CMA), Nova Scotia","2016S0503205","Deaths","Both sexes","All ages","Persons","249","units","0","v1060845328","8.2.1.1","3232","","","","0"
"2018/2019","Halifax (CMA), Nova Scotia","2016S0503205","Deaths","Both sexes","All ages","Persons","249","units","0","v1060845328","8.2.1.1","3260","","","","0"
"2019/2020","Halifax (CMA), Nova Scotia","2016S0503205","Deaths","Both sexes","All ages","Persons","249","units","0","v1060845328","8.2.1.1","3222","","","","0"
"2015/2016","Halifax (CMA), Nova Scotia","2016S0503205","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060845661","8.3.1.1","4469","","","","0"
"2016/2017","Halifax (CMA), Nova Scotia","2016S0503205","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060845661","8.3.1.1","3584","","","","0"
"2017/2018","Halifax (CMA), Nova Scotia","2016S0503205","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060845661","8.3.1.1","4353","","","","0"
"2018/2019","Halifax (CMA), Nova Scotia","2016S0503205","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060845661","8.3.1.1","5411","","","","0"
"2019/2020","Halifax (CMA), Nova Scotia","2016S0503205","Immigrants","Both sexes","All ages","Persons","249","units","0","v1060845661","8.3.1.1","5142","","","","0"
"2015/2016","Halifax (CMA), Nova Scotia","2016S0503205","Emigrants","Both sexes","All ages","Persons","249","units","0","v1060845994","8.4.1.1","826","","","","0"
"2016/2017","Halifax (CMA), Nova Scotia","2016S0503205","Emigrants","Both sexes","All ages","Persons","249","units","0","v1060845994","8.4.1.1","578","","","","0"
